matchup,count,probability,top_seed_win_pct
Winnipeg Jets vs Washington Capitals,8,8.0,50.0
Washington Capitals vs Vegas Golden Knights,7,7.000000000000001,57.14285714285714
Winnipeg Jets vs Toronto Maple Leafs,6,6.0,100.0
Vegas Golden Knights vs Tampa Bay Lightning,6,6.0,83.33333333333334
Vegas Golden Knights vs Florida Panthers,5,5.0,20.0
Washington Capitals vs Dallas Stars,4,4.0,25.0
Dallas Stars vs Florida Panthers,4,4.0,50.0
Dallas Stars vs Tampa Bay Lightning,4,4.0,50.0
Winnipeg Jets vs Tampa Bay Lightning,4,4.0,75.0
Edmonton Oilers vs Carolina Hurricanes,3,3.0,33.33333333333333
Colorado Avalanche vs Tampa Bay Lightning,3,3.0,66.66666666666666
Los Angeles Kings vs Carolina Hurricanes,3,3.0,66.66666666666666
Vegas Golden Knights vs Toronto Maple Leafs,3,3.0,100.0
Winnipeg Jets vs Carolina Hurricanes,3,3.0,100.0
Dallas Stars vs Carolina Hurricanes,3,3.0,33.33333333333333
Toronto Maple Leafs vs Edmonton Oilers,3,3.0,0.0
Los Angeles Kings vs Ottawa Senators,3,3.0,100.0
Winnipeg Jets vs Florida Panthers,2,2.0,50.0
Winnipeg Jets vs New Jersey Devils,2,2.0,50.0
Colorado Avalanche vs New Jersey Devils,2,2.0,50.0
Los Angeles Kings vs Tampa Bay Lightning,2,2.0,0.0
Washington Capitals vs Edmonton Oilers,2,2.0,50.0
Minnesota Wild vs New Jersey Devils,1,1.0,0.0
Washington Capitals vs Colorado Avalanche,1,1.0,100.0
Washington Capitals vs St. Louis Blues,1,1.0,100.0
Toronto Maple Leafs vs Colorado Avalanche,1,1.0,0.0
Minnesota Wild vs Montréal Canadiens,1,1.0,0.0
Carolina Hurricanes vs St. Louis Blues,1,1.0,0.0
Florida Panthers vs St. Louis Blues,1,1.0,0.0
Winnipeg Jets vs Montréal Canadiens,1,1.0,0.0
Dallas Stars vs Toronto Maple Leafs,1,1.0,0.0
Colorado Avalanche vs Carolina Hurricanes,1,1.0,100.0
Vegas Golden Knights vs Carolina Hurricanes,1,1.0,100.0
Vegas Golden Knights vs New Jersey Devils,1,1.0,0.0
Washington Capitals vs Los Angeles Kings,1,1.0,100.0
Vegas Golden Knights vs Montréal Canadiens,1,1.0,100.0
Dallas Stars vs Montréal Canadiens,1,1.0,0.0
Tampa Bay Lightning vs Edmonton Oilers,1,1.0,0.0
Florida Panthers vs Minnesota Wild,1,1.0,100.0
Edmonton Oilers vs New Jersey Devils,1,1.0,0.0
